keyword,matched_text,title,sentence
ESL,ESL,Gregorio Luperón High School for Math & Science,"Aviation ESL Spanish Math Science Music Robotics AP Spanish Language AP Spanish Literature AP Music AP Biology AP Calculus AP Computer Science, in partnership with TEALS AP Physics FIRST Robotics Competition FIRST Tech Challenge Club A.M.A.S."
immigration,Immigration,Little Rock Central High School,"On February 4, 2026, students led a protest during a fire drill, part of the series of protests against the United States Immigration and Customs Enforcement (ICE) following the killings of Renée Good and Alex Pretti."
ICE,ICE,Little Rock Central High School,"On February 4, 2026, students led a protest during a fire drill, part of the series of protests against the United States Immigration and Customs Enforcement (ICE) following the killings of Renée Good and Alex Pretti."
citizenship,citizenship,St. Augustine High School (Florida),"The curriculum teaches each cadet good citizenship, leadership, the ability to communicate effectively, the importance of physical fitness and the importance of a high school diploma for a successful future."
immigrants,immigrants,Robert Lindblom Math & Science Academy,It first served a population with a high number of European immigrants and emphasized the importance of education in assimilation and advancement.
English language learner,English language learner,Thomas Jefferson High School for Science and Technology,"The admissions process is based on grade point average, a math or science related problem solving essay, a student portrait sheet demonstrating skills and character, and details about a student's socioeconomic background including whether they are economically disadvantaged, a special education student, or an English language learner."
immigrants,immigrants,New Trier High School,"The Trevian mascot was chosen to recognize that immigrants from Trier, Germany, largely settled the Grosse Pointe area of Wilmette."
immigrants,immigrants,Bayless Senior High School,Enrollment would not increase until the late 1990s and 2000s due to the Yugoslav Wars and the influx of Bosnian immigrants from the Bosnian War.
citizenship,citizenship,Rolling Meadows High School,"Rolling Meadows High School also offers Career and Technical Education (CTE) courses through a career pathways program which, 'prepare[s] students for the workplace by building academic, vocational, career planning, and citizenship skills.' Some of the CTE pathways include aerospace engineering, automotive technician, early childhood education, nutrition and culinary arts, cosmetology, and nursing assistant, among others."
refugee,refugee,Porter-Gaud School,"Bentham Simmons, a survivor of the attack on Pearl Harbor; French teacher Charles Winter, a refugee from Hungary; and Admiral Florence, who taught math."
ESL,ESL,Barbara Goleman Senior High School,The most notable titles include: (2x) FHSAA High-School E-Sports State Title ESL Play R6 Xbox Tournament ACGL Rainbow 2v2 Blast R6 Majors Six Invitational Jynxzi's 'Part-Time Streamer' McDonald's Trophy
citizenship,citizenship,High Tech High Media Arts,The founding group was clear about its intent: to create a school where students would be passionate about learning and would acquire the basic skills of work and citizenship.
naturalization,Naturalization,Bow High School,"Senior Project (as part of the Senior Seminar course) Digital Portfolio Per NH HB 1367, passing grade on the United States Citizenship & Naturalization Exam Mike Desilets is Bow School District's Athletic Administrator."
citizenship,Citizenship,Bow High School,"Senior Project (as part of the Senior Seminar course) Digital Portfolio Per NH HB 1367, passing grade on the United States Citizenship & Naturalization Exam Mike Desilets is Bow School District's Athletic Administrator."
asylum,asylum,Oxbridge Academy (Florida),"On May 27, 2016, Koch fired Parsons and declined to renew the contracts of director of athletics Craig Sponsky and the football coach Doug Socha; Koch noted that a 'power elites group' in the school 'ran the asylum'."
immigrant,immigrant,Roman Catholic High School,"Coming from a poor immigrant family, Cahill sought to provide young men from similar backgrounds with the secondary education denied him.' The campus consists of four structures, two on Vine Street and two on Wood Street."
ESL,ESL,Guilderland High School,"Types include Advanced Placement, SUPA (Syracuse University Project Advance), Honors, Regents, Core, Focus, Vo-Tech, ESL, as well as various additional college programs."
immigrant,immigrant,Los Angeles High School,"The attendance boundary consists of a contrasting spectrum of economic diversity ranging from affluent Hancock Park and Lafayette Square to the low-income, densely populated immigrant community of Koreatown."
immigrants,immigrants,Pueblo County High School,"This was due to Pueblo's tie with the largest steel industry in the 1970s, where immigrants came to work, largely Hispanics."
migrant,Migrant,Bourbon County High School,"The school has 15 departments: Academics, Adult Ed, Attendance/ Enrollment, Community Ed, ELL Resources, Family Resource, Finance, Food Service, Human Resources, Maintenance, Migrant Education, Special Education, Talented/Gifted, Technology, and Transportation."
immigrants,immigrants,Erasmus Hall High School,"At the same time, New York City was experiencing a huge influx of immigrants (increasing the school registers between 1900 and 1904 by 132,000 pupils), and the schools were expected to help Americanize these new students."
ESL,ESL,Oak Harbor High School (Washington),"For those students whose first language is not English, ESL classes are offered."
asylum,Asylum,"Sequoyah High School (Cherokee County, Oklahoma)",The school was founded in 1871 by the Cherokee National Council as the Cherokee Orphan Asylum to care for the numerous orphans who came out of the American Civil War.
asylum,Asylum,Texas School for the Deaf,The institution's name changed again to Texas Deaf and Dumb Asylum around 1877.
deportation,deportation,New Brunswick High School,"In March 25, 2025, a teacher faced criticism for an educational assignment about the Palestinian student activist Mahmoud Khalil, who was facing deportation."
citizenship,citizenship,LaVon Mercer,"He obtained Israeli citizenship, and also played for the Israeli national basketball team."
immigrant,immigrant,"Saint Francis High School (Athol Springs, New York)","Justin Figas, OFM Conv., wished to establish a secondary school for young men of the Polish-American immigrant community in the Niagara Frontier area in Western New York."
bilingual,bilingual,Roy Campanella Occupational Training Center,Quad 3: The Multi-Lingual Quad services all bilingual and ENL students who are implementing the Hallmarks of an Advanced Literacy classroom.
immigration,immigration,Broad Run High School,"The area's student demographics have significantly changed as well: Loudoun County's residents are now the country's most affluent (per capita), and its ethnic composition continues to diversify as foreign immigration into Northern Virginia increases."
citizenship,citizenship,Georgia Military College,Georgia Military College was created in 1879 by act of the Georgia General Assembly 'to educate young men and women from the Middle Georgia area in an environment which fosters the qualities of good citizenship.' It was the apparent intention of the General Assembly to establish the school as a unit of the slowly forming University System of Georgia.
bilingual,bilingual,Lindbergh High School (Washington),"49% of students are eligible for free or reduced price meals, 13% receive special education services, 12.5% are transitional bilingual (and many more are native speakers of both English and another language)."
foreign-born,foreign-born,Zeke Martin,"He played in two games for the team in September of 1951, but he was cut on October 1, the league deadline for trimming foreign-born players on the roster down to seven."
refugee,refugee,Placer High School,"Steve Barooshian, a slightly built, Armenian refugee with a Stanford education, came to the foothills to teach the feared “mountain boys”."
bilingual,Bilingual,Whitehorse High School,"In the 2017–18 school year, several organizations assisted Whitehorse High School students participate in programs promoting use of the Navajo language including the San Juan School District Bilingual Education Department and the Navajo Nation Johnson O'Malley Indian Education Committee."
ESL,ESL,Southern Regional High School,Mainsail (alternative) and ESL (English as a Second Language) programs are offered for eligible students.
citizenship,citizenship,Audubon High School (New Jersey),"The program seeks to encourage academic excellence, school spirit and citizenship."
immigrants,immigrants,South St. Paul Secondary,"In the early twentieth century, the school housed night classes for immigrants who wished to gain American citizenship."
citizenship,citizenship,South St. Paul Secondary,"In the early twentieth century, the school housed night classes for immigrants who wished to gain American citizenship."
citizenship,citizenship,Miss Maine Basketball,"The award is given to a senior player who best demonstrates basketball skills, makes significant impact on her team, shows leadership and respect for the game, and demonstrates good sportsmanship and citizenship both on and off the court."
immigrants,immigrants,"Wakefield High School (Arlington County, Virginia)","This part of the county is home to many recent immigrants, and the residential areas are some of the most culturally diverse in the nation."
ESL,ESL,"Wakefield High School (Arlington County, Virginia)","The demographic breakdown of the 2020–2021 school year is as follows: 42.6% Hispanic 25.9% White 18.6% Black 7.7% Asian/Pacific Islander 5% Multi-ethnic .11% American Indian/Alaskan Native .11% Native Hawaiian/Pacific Islander/Alaskan Native As of 2006–2007, 222 students receive ESL support."
English language learner,English Language Learner,Abraham Lincoln High School (San Francisco),"ALHS provides services and special education for severely and non-severely impaired students, including a comprehensive English Language Learner (ELL) program, a Mandarin Secondary Dual Language Pathway, four years of Spanish, Mandarin, and Japanese instruction, a GATE pathway for gifted and talented students, a Wellness Center, Peer Resource Program, AVID, Step-to-College, clubs, athletics, and extracurriculars."
citizenship,citizenship,Del City High School,"It is a multi-disciplinary curriculum encompassing leadership, citizenship, health, study skills, history, meteorology, astronomy, oceanography, navigation, current events, military drill, physical fitness and fun."
ESL,ESL,Hebron High School (Texas),"As of the 2018-2019 school year, HHS serves 133 Bilingual/ESL students, 350 students in the Gifted and Talented (GT) Program, and 240 students through special education services."
bilingual,Bilingual,Hebron High School (Texas),"As of the 2018-2019 school year, HHS serves 133 Bilingual/ESL students, 350 students in the Gifted and Talented (GT) Program, and 240 students through special education services."
ESL,ESL,"Seguin High School (Arlington, Texas)","In addition to regular courses, there are special provisions for gifted and talented, ESL, and vocational students, as well as classes for the mentally and physically handicapped students."
ICE,ICE,Thornton Fractional North High School,"Other activities and clubs include: Adventure Club, Auto Collision, Auto Mechanics, Chess, Concert Band, Creative Arts Magazine, Cultural Diversity, Foreign Language Club, Gay-Straight Alliance (GSA), Integrated Cooperative Education (ICE), J.I.L.G., Jazz Ensemble, Jazz Choir, Marching Band, Mathletes, National Honor Society (NHS), Newspaper, Peer Mediators, Pep Club, S.A.D.D., Speech Team, Radio/TV Productions (Meteor Productions), Visual Arts, and Yearbook."
citizenship,Citizenship,Trench trophy,Francis Red Raiders 2024: Sam Ikegweonu.Lackawanna Steelers 2025: Kaius Mattoon.Clarence Red Devils Technique Determination Aggressiveness Intensity Ability to be a Team Player Coachability Consistency Courage Citizenship Scholastic Effort [Size [height and/or weight] shall NOT be taken into consideration] Trench Trophy Website Section 6 Website
citizenship,citizenship,Bethel Park High School,"Good citizenship is the first step, and every one of you can take it."
immigrant,immigrant,William Fleming High School,The name William Fleming derived from a Scottish immigrant who was a prominent physician and statesman in Virginia.
ESL,ESL,Juan B. Galaviz Charter School,"The organization's programs include vocational training, ESL instruction, and an education support and advocacy program for adjudicated youth 10–16 years of age."
immigrants,immigrants,Hebrew Technical Institute,The school was founded after three Hebrew charity organizations formed a committee to promote technical education for the many Jewish immigrants arriving in New York at the time.
citizenship,Citizenship,Tyee High School,In 2011 it was turned into two small schools now known as Academy of Citizenship and Empowerment and Global Connections High School as a part of the small schools movement.
sanctuary,sanctuary,"Trinity Lutheran School (Bend, Oregon)","Trinity Lutheran Church has plans to add a new middle school and high school building, and a new sanctuary."
immigrant,immigrant,Central Catholic High School (Pittsburgh),"In the 1920s, Bishop Hugh Charles Boyle of the Diocese of Pittsburgh started a program to expand diocesan involvement in education beyond the existing parish schools founded by the predominantly Catholic immigrant population of the city."
immigrants,immigrants,Pinkerton Academy,"For the following years, the Scottish immigrants of Londonderry helped maintain the academy and also contributed funds for it."
refugee,Refugee,Patterson High School (Maryland),The ESOL Program has both Emergent and Newcomers Program and support for ESOL students throughout their integrated classes by offering mentoring and partnerships with Liberty's Promise and Refugee Youth Program.
asylum,Asylum,Watkinson School,"In that year, a farm was purchased on Park Street, and the institution was opened as a school and working farm known as the Watkinson Juvenile Asylum and Farm School."
immigrant,immigrant,"St. Mary's School (Guttenberg, Iowa)",The early clergy for this French and German immigrant people were missionaries traveling the Mississippi as early as 1833.
immigrants,immigrants,Newcomers High School,"This school specializes in introducing new immigrants to American culture, and also teaching English to students."
immigration,immigration,Saint Demetrios Astoria School,"The elementary school building was purchased in 1974, after a wave of immigration by Greek Cypriots to Astoria created a need for additional classrooms."
sanctuary,sanctuary,Chevy Chase Junior College,"It consisted of 11 acres (4.5 ha) that were 'a sanctuary from the negative elements of urban life' in nearby Washington, D.C."
ESL,ESL,Jamestown High School (Virginia),"The second floor has the library (or media center) and classrooms for math, social studies, English and foreign languages (along with English as a Second Language (ESL))."
immigrants,immigrants,Kau High and Pahala Elementary School,The plantation employed a large number of immigrants who wanted their children to have a high school education; Honokaʻa High & Intermediate School was established on the north end of the island eight years later for similar reasons.
ESL,ESL,Scranton High School (Pennsylvania),The school provides ESL (English as a Second Language) and development courses for students.
citizenship,citizenship,Pender Early College High School,"These include yoga, documentary film, project citizenship and etiquette classes."
citizenship,citizenship,Red Wing High School,"Key Club's objective is the development of initiative, leadership ability and good citizenship practices."
citizenship,citizenship,University City High School (San Diego),"The MCJROTC program focuses on leadership development, citizenship, physical fitness, and community service."
immigrant,immigrant,Albert Sidney Johnston High School,"Beginning in 2004, Johnston High School hosted International High School, a 'school within a school' that provided an intensive English program for ninth- and tenth-grade immigrant and refugee students who were bused to Johnston High School from throughout Austin."
refugee,refugee,Albert Sidney Johnston High School,"Beginning in 2004, Johnston High School hosted International High School, a 'school within a school' that provided an intensive English program for ninth- and tenth-grade immigrant and refugee students who were bused to Johnston High School from throughout Austin."
bilingual,bilingual,Albert Sidney Johnston High School,"There are a few that mix.' According to the school's 1980 yearbook, 'desegregation, busing, rumor and question marks occupied students, faculty in winter of '79.' In January 1980, a series of desegregation appeals were finally settled by Judge Jack Roberts, and a tri-ethnic desegregation plan of forced busing, affirmative action hiring, and bilingual education was implemented for the Austin ISD in the Fall of 1980 with $3.4 million of emergency aid from the federal government."
immigration,Immigration,Loyola Blakefield,"Andrew Arthur, Resident Fellow in Law and Policy for the Center for Immigration Studiesan anti-immigration think tank, commentator on Fox Business Network and other news shows Tom Clancy, author Brian Distance, actor in House of Cards, NCIS New Orleans, and Green Book Ambassador Nathaniel Fick, former United States Marine Corps captain, author of One Bullet Away: The Making of a Marine Officer, and US Ambassador at Large for Cyberspace and Digital Policy Brendan Hines, actor in Fox Broadcasting Company's series Lie to Me Aaron LaCrate, music producer and fashion designer Jim McKay, Emmy-winning Olympic sports broadcaster and host of the Wide World of Sports Thomas F."
immigration,immigration,Loyola Blakefield,"Andrew Arthur, Resident Fellow in Law and Policy for the Center for Immigration Studiesan anti-immigration think tank, commentator on Fox Business Network and other news shows Tom Clancy, author Brian Distance, actor in House of Cards, NCIS New Orleans, and Green Book Ambassador Nathaniel Fick, former United States Marine Corps captain, author of One Bullet Away: The Making of a Marine Officer, and US Ambassador at Large for Cyberspace and Digital Policy Brendan Hines, actor in Fox Broadcasting Company's series Lie to Me Aaron LaCrate, music producer and fashion designer Jim McKay, Emmy-winning Olympic sports broadcaster and host of the Wide World of Sports Thomas F."
sanctuary,sanctuary,Morse High School (California),They don’t realize that this campus is a beautiful campus; it’s a sanctuary for these students.
immigrants,Immigrants,Venice High School (Los Angeles),"The first walk out for support of Immigrants was held in February 2025 which other schools participated in and 200 students supported the walk out at that time, the walkout was against ICE raids in the area and the rest of the country, the newspaper The Oarsman covered this."
ICE,ICE,Venice High School (Los Angeles),"The first walk out for support of Immigrants was held in February 2025 which other schools participated in and 200 students supported the walk out at that time, the walkout was against ICE raids in the area and the rest of the country, the newspaper The Oarsman covered this."
immigrant,immigrant,Brooklyn International High School,"BIHS is a small public high school, notable for its multilingual model which has helped its largely immigrant and working class students achieve 91% graduation and 81% college acceptance rates, above the New York City averages as of 2016."
immigrants,immigrants,Brooklyn International High School,"BIHS was established in 1994 and focuses on the academic needs of English Language Learners from a diverse student body, largely from immigrants from a broad array of countries."
immigrants,immigrants,"Immaculate Conception Academy (Davenport, Iowa)","Anthony's, then Davenport's only parish, were mostly poor Irish immigrants."
immigrant,immigrant,Lawrence High School (Massachusetts),A program for recent immigrant students called Engaging Newcomers in Language and Content Education (ENLACE) Academy was established.
immigrant,immigrant,Benet Academy,"Neuzil, then editor-in-chief of the Czech Benedictine Press, raised $80,000 within 12 years from the generally impoverished Czech immigrant community through local publications."
immigrants,immigrants,Benet Academy,"Some 50,000 Czech immigrants were served by the three Czech parishes of Chicago—16,000 to 20,000 of them by St."
immigrants,immigrants,Benet Academy,"These Czech immigrants wanted to assimilate into American society, but also wanted to pass their language on to their children."
immigrants,immigrants,Benet Academy,Limited financial aid for the generally poor Czech immigrants led to meager enrollment.
visa,Visa,Eastern Christian High School,ECHS also offers a one to four year middle and high school program for F-1 Visa Students.
immigrant,immigrant,International High School at Prospect Heights,"An Empowerment School, International High addresses the needs of recent immigrant students by teaching them fluency in reading, writing and speaking."
immigrant,Immigrant,International High School at Prospect Heights,The book The New Kids: Big Dreams and Brave Journeys at a High School for Immigrant Teens was written about students at the school.
bilingual,bilingual,Little Rock Nine,"In 1958, Cuban poet Nicolás Guillén published 'Little Rock', a bilingual composition in English and Spanish denouncing the racial segregation in the United States."
immigrants,immigrants,St. Hubert Catholic High School for Girls,The grounds of the school was originally home to a Catholic parish which was built in 1924 for German-speaking immigrants.
immigrants,immigrants,Sinai Academy,"Sinai Academy is an Orthodox Jewish private junior high and high school currently located in the Bensonhurst section of Brooklyn, New York, whose students used to be primarily children of immigrants from the former Soviet Union kavkazi jews and jews from uzbekistan called bukharian jews , the Sephardic community, the Russian community and other members of the Jewish community."
immigration,immigration,Sinai Academy,"It was founded in 1987 during the years of peak immigration of Jewish refugees from the Soviet Union by Aryeh Katzin with the support of leading Orthodox rabbis in the United States, especially that of Rabbi Elya Svei of the Talmudical Yeshiva of Philadelphia."
immigrants,immigrants,Theodore Roosevelt High School (Los Angeles),This categorization derived in the twentieth century when an abundance of Mexican immigrants enrolled in public schools and school boards segregated the establishments.
immigration,immigration,Loudoun Valley High School,"Recently, due to immigration, Valley has begun to experience a high rate of growth similar to eastern Loudoun schools like Park View and Broad Run."
immigrants,immigrants,Long Island City High School,Long Island City High School has a significant population of first-generation immigrants as students.
ESL,ESL,Long Island City High School,"The school, which serves grades 9 through 12, is a part of the New York City Department of Education, and has an overall 59% graduation rate which includes special education students and ESL (English as a Second Language) students."
asylum,Asylum,Kentucky School for the Deaf,"KSD was established as the Kentucky Asylum for the Tuition of the Deaf and Dumb on April 10, 1823."
migrant,migrant,Robstown High School,"The name is in reference to Hispanic migrant workers, whose presence and activity have been a noticeable influence on the city’s culture."
bilingual,bilingual,Los Angeles Leadership Academy,"All students are taught to be bilingual, biliterate and bicultural."
migrant,migrant,PPEP TEC High Schools,"PPEP specializes in helping sons and daughters of migrant and seasonal farmworkers in rural Arizona, at-risk students, high school dropouts or students who are in employment."
