keyword,matched_text,title,sentence
ICE,ICE,Davies High School,Immigration and Customs Enforcement (ICE) actions in the region.
immigrants,immigrants,Kosta Koufos,"Koufos is the son of Greek immigrants Katerina and Alex Koufos, a pediatric doctor in Canton who died when Kosta was nine years old."
citizenship,citizenship,Kosta Koufos,"Koufos holds dual citizenship of both the United States and Greece, thus making him eligible to represent Greece internationally."
immigrant,immigrant,James Lick High School,"After successful completion of the fire service pathway and graduation, students have the opportunity to: Attend a CSU/UC campus to pursue a bachelor's degree Attend community college to pursue an associate degree Attend other certification programs Apply for an apprenticeship opportunity Program Highlights CPAT Training Fieldtrips Wilderness First Aid CSU Eligibility CPR First Aid Certification Fire Service Networking Community Involvement Emergency Medical Technician Test Preparation and Certification Post-Secondary Employment Opportunities James Lick High School serves working class and predominantly low-income, first and second-generation immigrant families."
citizenship,citizenship,Omar Cook,"In May 2008, Cook received Montenegrin citizenship, thus applying to represent Montenegro's national basketball team."
citizenship,citizenship,Loudoun County High School,"The NJROTC program aims to instill the values of citizenship, service to the United States, personal responsibility, and a sense of accomplishment."
citizenship,citizenship,Huntley Project High School,Huntley Projects stated goals are for their students learn and develop citizenship.
immigrant,immigrant,Vestavia Hills High School,"The land was acquired by Louis Pizitz, a Polish immigrant who settled in Birmingham in 1889."
bilingual,Bilingual,East Boston High School,Bilingual education classes are also offered.
sanctuary,Sanctuary,Paul J. Hagerty High School,"In the fall of 2004, the school moved to its current location at Sanctuary Drive, and construction started on Hagerty, and the school opened a year later in 2005, to help the influx of students at Oviedo High School."
immigrants,Immigrants,Hamtramck High School,"JoEllen McNergney Vinyard, author of For Faith and Fortune: The Education of Catholic Immigrants in Detroit, 1805-1925, wrote that Hamtramck High had 'substantially more students than were in all of Detroit's Polish Catholic high schools combined.' In 1970 the school moved to the former Copernicus Junior Middle School's former building."
citizenship,citizenship,Clinch Mountain District,"The league's mission was to establish and maintain 'standards for student activities and competitions that promote education, personal growth, sportsmanship, leadership and citizenship.' The secondary schools within the district compete in various events, predominantly athletics."
English language learner,English Language Learner,Moanalua High School,"English Language Learner (ELL) supports are available for students whose first language is not English, and integrated co-teaching systems with 8 teachers are present for special education students."
citizenship,citizenship,Kealakehe High School,Passing all 4 years of citizenship (equivalent to 1 year of social studies and 1 year of elective credit) is required in order to walk the line at graduation.
citizenship,citizenship,Kealakehe High School,A passing grade in citizenship is currently 85%.
citizenship,citizenship,Kealakehe High School,A student not passing citizenship can make up their year grade if they are in the 80–84% range.
immigrant,immigrant,South Philadelphia High School,"The Philadelphia School District administrators opened the School merely as a three-year training facility for immigrant children, mostly Jewish and Italian, and children who lacked intellectual skills who 'could only work with their hands'."
immigrant,immigrant,South Philadelphia High School,"In the late 1960s, the student population of the high school changed from predominantly poor Jewish and Italian immigrant and first-generation children to increasing low-middle income African-American and immigrant Asian-American children."
immigrant,immigrant,South Philadelphia High School,"In the late 1960s, the student population of the high school changed from predominantly poor Jewish and Italian immigrant and first-generation children to increasing low-middle income African-American and immigrant Asian-American children."
immigrant,immigrant,South Philadelphia High School,As of 2010 the second floor housed immigrant students.
immigrant,immigrant,South Philadelphia High School,"An update: during the school year 2014–2015, the school district successfully integrated the immigrant students with the general student body while maintaining the Bilingual Newcomer (including an Asian American Studies) supports.The immigrant students are no longer separated/segregated on the second floor."
immigrant,immigrant,South Philadelphia High School,"An update: during the school year 2014–2015, the school district successfully integrated the immigrant students with the general student body while maintaining the Bilingual Newcomer (including an Asian American Studies) supports.The immigrant students are no longer separated/segregated on the second floor."
immigrant,immigrant,South Philadelphia High School,"By September 1998 the school established a bilingual English-Chinese program to serve Chinese immigrant students, and that month it began hiring teachers fluent in both languages to teach core subjects."
immigrants,immigrants,South Philadelphia High School,"In the 2000s the school had an Asian American population that made up around 20% of the school and an African-American population of 65–70%, The Asian American population consisted of new immigrants along with an earlier Vietnamese-American and Cambodian-American refugee population that had arrived in the 1980s and 1990s."
immigrants,immigrants,South Philadelphia High School,"After an incident occurred in October 2008 when 30 black students chased and attacked five Asian students, a Chinese student named Wei Chen (simplified Chinese: 陈 威; traditional Chinese: 陳 威; pinyin: Chén Wēi), who originated from Fujian Province, founded the Chinese-American Student Association in order to help orient new immigrants into the school and to keep records of assaults against Chinese students."
refugee,refugee,South Philadelphia High School,"In the 2000s the school had an Asian American population that made up around 20% of the school and an African-American population of 65–70%, The Asian American population consisted of new immigrants along with an earlier Vietnamese-American and Cambodian-American refugee population that had arrived in the 1980s and 1990s."
bilingual,Bilingual,South Philadelphia High School,"An update: during the school year 2014–2015, the school district successfully integrated the immigrant students with the general student body while maintaining the Bilingual Newcomer (including an Asian American Studies) supports.The immigrant students are no longer separated/segregated on the second floor."
bilingual,bilingual,South Philadelphia High School,"By September 1998 the school established a bilingual English-Chinese program to serve Chinese immigrant students, and that month it began hiring teachers fluent in both languages to teach core subjects."
immigration,Immigration,Horizon High School (Texas),"Immigration and Customs Enforcement agents arrested 18-year-old at the time Horizon High School graduate Rene Humberto “Jetta” Perez for smuggling drugs between Mexico and Oklahoma City, OK."
visa,visa,Presque Isle High School,"However, a few short years later, the Chinese language class was dropped from the curriculum after the district failed to renew the instructor's work visa, and to this date, no SAD1 student has studied abroad in Beijing."
immigrants,immigrants,St. Mary's Dominican High School,"John the Baptist Church in New Orleans, to teach the children of the Irish immigrants."
ESL,ESL,A.C. Davis High School (Washington),The ESL (English as a Second Language) program assists Spanish speaking students adjust to an English learning environment.
citizenship,citizenship,"Booker High School (Sarasota, Florida)","The goal of the Booker's JROTC is to teach its cadets to appreciate the ethical values that underlie good citizenship, to develop leadership potential, and to learn to live and work cooperatively with others."
citizenship,citizenship,"University High School (Orlando, Florida)","German Club, International Thespian Society, JROTC which provides a way for students to establish a sense of citizenship and for the students to get a taste of what it would be like in the United States Marine Corps."
immigrants,immigrants,"Theodore Roosevelt High School (Fresno, California)",Many of its students are immigrants from Mexico and Southeast Asia.
immigrants,immigrants,Framingham High School,"* SP = Special Education Beyond Grade 12 Framingham High School is a racially, ethnically, and economically diverse school due to the town of Framingham historically being a hub for immigrants to the United States."
citizenship,citizenship,Dunedin High School,"Parent-Teacher-Student Association (PTSA) School Advisory Council (SAC) Partnerships: Bright House Networks, Nielsen Media Research, Raytheon Company, City of Dunedin, Dunedin Chamber of Commerce Volunteer program The Naval Junior Reserve Officer's Training Corps program provides an opportunity for cadets to learn valuable leadership skills, citizenship skills, and the value of commitment, honor and courage (the Navy's core values)."
immigrant,immigrant,LEAP High School,Its student body is 100% immigrant and range in ages from 14 to 21.
immigrants,immigrants,LEAP High School,It was founded in autumn of 1994 by Jeff Dufresne and Sandra Hall as a high school for newly arrived immigrants to the city of Saint Paul.
immigrants,immigrants,LEAP High School,"However, with the influx of new immigrants from the Wat Tham Krabok refugee camp in Thailand, the name was changed to reflect a more clear image and mission of the school."
immigrants,immigrants,LEAP High School,LEAP serves students who are newly arrived immigrants to the United States and have a limited understanding of the English language.
