step,loss,learning_rate,elapsed_s
321,2.117641,1.92e-04,4708.7
322,1.873011,1.92e-04,4723.9
323,1.926333,1.92e-04,4739.1
324,2.028811,1.92e-04,4754.4
325,2.047506,1.92e-04,4770.3
326,2.036199,1.92e-04,4785.7
327,1.874286,1.92e-04,4801.0
328,2.072187,1.92e-04,4816.0
329,2.078117,1.92e-04,4831.2
330,1.910699,1.91e-04,4846.3
331,2.163716,1.91e-04,4861.5
332,2.173702,1.91e-04,4876.8
333,2.069614,1.91e-04,4892.3
334,1.907887,1.91e-04,4908.1
335,2.090765,1.91e-04,4923.2
336,1.964043,1.91e-04,4938.3
337,2.004293,1.91e-04,4953.7
338,1.843103,1.91e-04,4969.0
339,1.983307,1.91e-04,4984.1
340,2.117816,1.90e-04,4999.2
341,1.913550,1.90e-04,5014.5
342,2.182405,1.90e-04,5029.6
343,1.998459,1.90e-04,5044.5
344,2.154375,1.90e-04,5059.3
345,2.037490,1.90e-04,5074.1
346,2.201987,1.90e-04,5089.6
347,2.077600,1.90e-04,5104.6
348,1.968769,1.90e-04,5119.8
349,1.920674,1.90e-04,5134.8
350,2.128613,1.89e-04,5149.7
351,2.049709,1.89e-04,5164.5
352,2.011882,1.89e-04,5179.3
353,2.133027,1.89e-04,5194.2
354,2.009182,1.89e-04,5209.1
355,2.010315,1.89e-04,5224.0
356,1.974943,1.89e-04,5239.0
357,1.993154,1.89e-04,5253.8
358,1.835928,1.89e-04,5268.9
359,1.993957,1.89e-04,5283.7
360,2.163499,1.88e-04,5298.5
361,2.085740,1.88e-04,5313.5
362,1.961355,1.88e-04,5328.5
363,1.985471,1.88e-04,5343.8
364,1.810658,1.88e-04,5359.4
365,1.908451,1.88e-04,5374.6
366,2.039383,1.88e-04,5389.8
367,1.942384,1.88e-04,5404.5
368,1.980065,1.88e-04,5419.3
369,1.902237,1.87e-04,5434.4
370,2.039614,1.87e-04,5449.2
371,1.902613,1.87e-04,5464.4
372,1.920641,1.87e-04,5479.4
373,1.991206,1.87e-04,5494.4
374,1.998312,1.87e-04,5509.4
375,1.951421,1.87e-04,5524.3
376,2.172800,1.87e-04,5539.3
377,1.984985,1.86e-04,5554.6
378,1.890559,1.86e-04,5569.9
379,2.002747,1.86e-04,5584.8
380,2.012249,1.86e-04,5600.4
381,1.881569,1.86e-04,5617.2
382,1.725000,1.86e-04,5632.8
383,2.032426,1.86e-04,5648.1
